met	id	time	conditon	well nr	Value
Cystine	42	23.25	22	well 12	1.057230e+02
Cystine	49	30.25	0	well 7	7.991770e+01
Cystine	50	30.25	6	well 8	7.972120e+01
Cystine	51	30.25	22	well 9	7.689430e+01
Cystine	52	30.25	0	well 10	9.015990e+01
Cystine	53	30.25	6	well 11	8.265270e+01
Cystine	54	30.25	22	well 12	8.326120e+01
Cystine	55	30.25	0	well 13	8.450800e+01
Cystine	56	30.25	6	well 14	8.416260e+01
Cystine	57	30.25	22	well 15	7.896470e+01
Cystine	61	47.5	0	well 7	2.844520e+01
Cystine	62	47.5	6	well 8	3.055270e+01
Cystine	63	47.5	22	well 9	2.837260e+01
Cystine	64	47.5	0	well 10	3.231610e+01
Cystine	65	47.5	6	well 11	3.492360e+01
Cystine	66	47.5	22	well 12	2.986080e+01
Cystine	67	47.5	0	well 13	3.097210e+01
Cystine	68	47.5	6	well 14	3.230550e+01
Cystine	69	47.5	22	well 15	3.081410e+01
Methionine	22	6.5	0	well 7	1.488356e+02
Methionine	23	6.5	6	well 8	1.543366e+02
Methionine	24	6.5	22	well 9	1.461233e+02
Methionine	34	23.25	0	well 4	1.390605e+02
Methionine	35	23.25	6	well 5	1.361024e+02
Methionine	36	23.25	22	well 6	1.386849e+02
Methionine	37	23.25	0	well 7	1.345698e+02
Methionine	38	23.25	6	well 8	1.351055e+02
Methionine	39	23.25	22	well 9	1.324930e+02
Methionine	40	23.25	0	well 10	1.362905e+02
Methionine	41	23.25	6	well 11	1.338989e+02
Methionine	42	23.25	22	well 12	1.367645e+02
Methionine	49	30.25	0	well 7	1.303082e+02
Methionine	50	30.25	6	well 8	1.258099e+02
Methionine	51	30.25	22	well 9	1.240293e+02
Methionine	52	30.25	0	well 10	1.352499e+02
Methionine	53	30.25	6	well 11	1.283967e+02
Methionine	54	30.25	22	well 12	1.297545e+02
Methionine	55	30.25	0	well 13	1.275201e+02
Methionine	56	30.25	6	well 14	1.277313e+02
Methionine	57	30.25	22	well 15	1.237774e+02
Methionine	61	47.5	0	well 7	1.148173e+02
Methionine	62	47.5	6	well 8	9.809400e+01
Methionine	63	47.5	22	well 9	1.004878e+02
Methionine	64	47.5	0	well 10	1.186958e+02
Methionine	65	47.5	6	well 11	1.045549e+02
Methionine	66	47.5	22	well 12	9.776860e+01
Methionine	67	47.5	0	well 13	1.147245e+02
Methionine	68	47.5	6	well 14	1.019988e+02
Methionine	69	47.5	22	well 15	1.022174e+02
Iso-leucine	22	6.5	0	well 7	6.326653e+02
Iso-leucine	23	6.5	6	well 8	6.449379e+02
Iso-leucine	24	6.5	22	well 9	6.225964e+02
Iso-leucine	34	23.25	0	well 4	5.244665e+02
Iso-leucine	35	23.25	6	well 5	5.217699e+02
Iso-leucine	36	23.25	22	well 6	5.336104e+02
Iso-leucine	37	23.25	0	well 7	5.002953e+02
Iso-leucine	38	23.25	6	well 8	5.176831e+02
Iso-leucine	39	23.25	22	well 9	5.074262e+02
Iso-leucine	40	23.25	0	well 10	5.100162e+02
Iso-leucine	41	23.25	6	well 11	5.089983e+02
Iso-leucine	42	23.25	22	well 12	5.211826e+02
Iso-leucine	49	30.25	0	well 7	4.701152e+02
Iso-leucine	50	30.25	6	well 8	4.703376e+02
Iso-leucine	51	30.25	22	well 9	4.644854e+02
Iso-leucine	52	30.25	0	well 10	4.845620e+02
Iso-leucine	53	30.25	6	well 11	4.745532e+02
Iso-leucine	54	30.25	22	well 12	4.851908e+02
Iso-leucine	55	30.25	0	well 13	4.616952e+02
Iso-leucine	56	30.25	6	well 14	4.770608e+02
Iso-leucine	57	30.25	22	well 15	4.622198e+02
Iso-leucine	61	47.5	0	well 7	3.775764e+02
Iso-leucine	62	47.5	6	well 8	3.614318e+02
Iso-leucine	63	47.5	22	well 9	3.642658e+02
Iso-leucine	64	47.5	0	well 10	3.862841e+02
Iso-leucine	65	47.5	6	well 11	3.788368e+02
Iso-leucine	66	47.5	22	well 12	3.600459e+02
Iso-leucine	67	47.5	0	well 13	3.820914e+02
Iso-leucine	68	47.5	6	well 14	3.708198e+02
Iso-leucine	69	47.5	22	well 15	3.702201e+02
Leucine	22	6.5	0	well 7	6.198315e+02
Leucine	23	6.5	6	well 8	6.240490e+02
Leucine	24	6.5	22	well 9	6.019586e+02
Leucine	34	23.25	0	well 4	5.120194e+02
Leucine	35	23.25	6	well 5	5.025734e+02
